D (m),L (m),P (kPa),G (kg m-2s-1),Tin (C),Xe (-),CHF (kW m-2)
0.003852183,0.83032896,12426.28414,4073.34796,305.5908925,0.186465311,1885.317819
0.003854861,1.013751601,2849.663136,1531.657429,70.48426377,0.604052598,2717.445845
0.003855682,0.808685788,9440.625335,4737.607367,203.9523285,0.069890773,3585.600337
0.003861814,0.507237086,13628.02272,4539.190546,201.8150866,-0.088805547,5247.225879
0.003862111,1.487622674,6609.690792,1592.84802,94.26311395,0.650596399,1972.154962
0.003866578,0.80244292,12867.17793,3971.004157,280.3368811,0.114422128,2143.920586
0.003871445,1.027691345,5061.926286,3016.479144,57.51661882,0.272514414,4181.443857
0.003873766,2.06905765,2146.450452,1065.460696,59.76322836,0.718248953,958.9801263
0.003874396,0.491921395,5797.663746,4246.288516,195.113415,0.073414867,4144.077142
0.003878113,1.016157372,2103.884697,750.6759891,47.09340927,0.752268612,1471.287802
0.003879501,1.499529069,4926.471815,1395.083697,74.07609514,0.763160894,1805.141754
0.003886164,2.095285323,2118.745281,715.880656,60.07086691,0.887738056,739.1815835
0.003887812,1.618704679,7164.29903,4695.047888,62.67008084,0.097919135,3364.510847
0.003891858,0.796498528,10321.99431,4790.543711,220.1786008,0.08115801,3482.954601
0.003910915,1.013690706,1410.229845,1122.048024,59.51918135,0.580446944,1810.364997
0.003926785,0.808136366,10179.18731,4062.418244,211.3185892,0.107886358,3050.748958
0.003930672,0.826771536,14347.83289,4121.778543,314.0109678,0.168044536,1943.646069
0.00393556,2.115552957,2777.720517,879.8986216,52.94113226,0.810599598,985.6454313
0.003937955,1.519350609,3008.356021,2144.04188,68.34024256,0.55333219,2404.290849
0.00393853,1.442705425,4898.376638,1640.939424,75.06702261,0.623096473,2175.700412
0.003940231,0.841032993,13212.78444,4060.865887,235.826004,0.041857144,2857.022351
0.003944043,1.013335711,2543.642542,858.1468645,59.97837152,0.759309729,1694.334118
0.003946043,1.62159846,16009.73719,4036.106797,301.0987436,0.261505247,1220.176742
0.003948627,0.804350095,9696.378603,5338.211263,208.5009711,0.069337632,3507.27122
0.003955076,0.499102608,5967.06402,4482.782396,130.1615587,-0.012562715,5458.055011
0.003965272,2.022718291,3425.10065,897.5579988,49.92807336,0.84282827,973.4211032
0.003984792,1.592545423,14716.79241,3999.55307,233.7248869,0.178961697,1815.743156
0.003987968,2.081021753,1437.150134,1136.505711,58.69931035,0.606146705,1004.028208
0.003998019,1.484320742,5396.843965,2160.258122,76.50579445,0.510883208,2424.598596
0.004007058,3.21307719,2676.749952,876.9592813,52.63174063,0.886004342,651.18566
0.004024765,1.581591234,9343.998302,4113.733544,236.0340763,0.234131909,1870.398325
0.004044203,0.978938407,4951.840848,3414.35799,49.64999006,0.237087648,4509.038839
0.004075799,0.782821832,14532.12257,4245.344876,302.4275864,0.161293433,1830.888607
0.004078432,2.982878364,2633.11585,826.4887013,53.10964373,0.917594782,683.1103725
0.004080723,3.139896929,2203.870899,539.3184006,50.78599418,0.956003213,419.9822583
0.004107797,2.042533569,2295.817245,1781.259735,52.42075835,0.58147226,1368.064071
0.004112892,1.539702892,6937.781785,1208.799889,58.01199628,0.764512065,1844.102047
0.004406966,1.700265468,13530.82646,2631.301887,269.826052,0.235869337,1184.292665
0.004872949,0.39887642,464.910449,498.092621,109.9777625,0.389867221,1529.440214
0.004933473,2.799719231,18587.64056,1998.108889,292.6825434,0.33847074,694.8978189
0.00508062,2.557012933,11287.94648,3897.106908,256.7376708,0.18680519,1180.236314
0.005082657,2.610261028,9708.675003,3423.203902,244.5396426,0.304218988,1185.594973
0.005095578,2.453823671,10456.38058,3079.270606,232.4886259,0.333510663,1154.764767
0.005138281,2.755662064,10725.24903,4836.458036,293.2593694,0.322083149,1217.58278
0.005155294,2.719966852,17641.01936,3111.713016,141.5742849,0.201857444,1748.554303
0.005158266,2.704732305,17800.48385,1961.060089,298.1390426,0.330859847,663.7445126
0.005162626,1.948857322,7415.546186,994.3370975,244.0902511,0.864833825,1104.518678
0.005306714,2.669122913,11767.84438,3469.522433,142.3324033,0.163389508,1734.511543
0.005309212,2.61671586,9760.158659,6819.045012,265.4951694,0.266348878,2135.973742
0.005368683,2.55442408,9136.893582,6911.340193,298.5710532,0.317468408,1752.514532
0.005413451,3.945013236,12347.12696,4962.105033,215.3234481,0.190371306,1365.485177
0.005418849,1.333166503,6656.609482,4245.25281,220.3613534,0.193906955,2780.85772
0.005429699,0.635152426,14104.06249,5196.935472,179.7040623,-0.152459963,6893.991399
0.005429722,3.052932416,6590.269098,3334.274067,38.86315133,0.298816665,2469.792303
0.005431449,5.051917599,6961.256539,3512.853206,241.2387574,0.424181167,816.1855088
0.005442151,1.955677084,11569.43895,1477.106236,291.0784034,0.412714837,703.7675465
0.005467033,2.853521181,5888.482185,4982.522041,95.57479804,0.243578708,2629.07722
0.005475368,2.480997339,9593.724419,6964.290316,288.657814,0.299717564,1831.805856
0.005484187,1.962374431,13703.15834,1486.439131,161.874121,0.254653669,1267.84134
0.005515575,0.985862088,16603.97923,5164.8141,186.3149962,-0.164140011,5001.508553
0.005518483,2.877795911,13567.82461,1574.904126,232.6212399,0.366694975,655.2838064
0.005523557,2.011001595,17641.89343,4308.598985,302.7522143,0.227169056,1813.855901
0.005524852,0.41432213,7105.551676,4263.035325,216.7041057,0.05103027,5328.953791
0.005529917,0.884967187,7044.283667,3406.654654,273.9372056,0.250819696,2678.725446
0.005541396,0.593362293,12981.63385,5046.110384,101.5040231,-0.40438435,8226.14093
0.005543029,1.952366593,6998.746879,4219.126977,275.441234,0.370428194,1590.570403
0.005545475,1.904984697,5952.853008,1483.411908,264.2539313,0.663464217,1190.41081
0.005577848,1.039238926,13948.28929,1425.972415,141.0468908,0.083241629,2301.555833
0.005579984,2.016070618,9557.880719,4169.156002,292.182475,0.26337706,1537.251021
0.005580039,0.615547587,13759.85877,1389.849052,82.92833076,-0.109175006,3302.515366
0.005581011,4.970557902,19787.49012,5029.346233,167.8801833,0.185898479,1682.758947
0.005588732,0.994950987,17967.22521,3231.511483,139.6699186,-0.198799708,4602.333952
0.005596015,0.98226166,9905.353286,3232.638238,266.3942517,0.146059925,1884.907181
0.005597998,3.842102102,11859.14006,4711.935409,267.1773064,0.260756911,1339.794495
0.005598093,3.826753796,9658.056598,3450.70997,118.3039402,0.244104029,1476.213256
0.005601059,2.035729454,6738.599659,4999.09926,58.08567867,0.045839681,3827.432129
0.005601382,3.013196933,14971.47952,3398.042305,299.5224484,0.253158625,858.4738218
0.005605908,1.006071501,13079.15893,5035.992816,229.9658953,0.023318278,3875.46535
0.005607877,3.924793933,15090.57424,5124.454069,222.1475848,0.211502845,1602.43588
0.00560956,5.159806441,6806.894233,3433.8942,141.1202232,0.331376367,1199.149657
0.005613204,0.998001969,7316.824858,1514.15054,221.7484577,0.478922704,2235.911171
0.005618199,1.940184102,6001.399416,3395.206467,233.1021971,0.349130802,1867.351555
0.005618299,4.219775052,14205.45755,4911.877007,73.62130888,0.085330526,2363.849345
0.005624225,4.176758029,13135.40379,5119.109619,94.19840186,0.089587265,2345.059388
0.005626648,3.123887039,13802.75917,3238.412114,274.566722,0.25109814,980.7171445
0.005629682,2.997328009,6960.269504,1527.367697,200.6345258,0.619083114,963.4466712
0.00563213,3.004204811,6716.028642,4786.792016,81.13976251,0.155126407,2802.650272
0.005636859,1.98071685,15884.36684,3382.806714,292.9023698,0.22865951,1309.553696
0.005651654,6.049141929,11028.06699,4989.198206,299.8440833,0.394177634,760.5852053
0.005652108,4.293830439,13142.27157,5123.876874,138.7219296,0.134103826,2027.411428
0.005656264,2.836131575,6714.751817,4818.995239,188.5714774,0.280029625,2151.439141
0.005666053,1.958136866,17303.9914,3401.097309,95.20943143,0.006037498,3232.573775
0.005666328,0.689427944,100.9681622,54.18365361,29.29729017,0.933968254,289.426508
0.005671207,1.004380318,11608.95033,1434.556173,191.1314521,0.235350933,2205.469091
0.005673738,4.938665574,6903.202782,3245.23675,121.0911437,0.372889323,1276.20741
0.00567402,1.950056633,15458.52546,1590.520974,237.9948118,0.290699331,920.5003241
0.005674378,1.035154304,8192.352563,4927.328035,248.8609707,0.114023647,2456.97728
0.005674634,0.979310335,109.824399,125.9513133,27.21259494,0.701149006,348.335614
0.005674656,2.93556295,6877.502438,3311.042518,58.91327852,0.311103436,2433.322776
0.005675471,2.025935777,17898.8884,3367.951779,193.9262688,0.082724443,2243.970291
0.005676045,3.912176895,15105.19306,4900.799241,196.2140166,0.193163964,1815.349837
0.005680241,2.912479443,15909.37762,3425.974204,163.5386734,0.13704295,1723.070014
0.005684837,2.016916058,13907.89459,3513.098427,262.7379449,0.161033737,1479.218383
0.005688648,3.696365497,13602.28066,1548.510155,103.4822664,0.299528302,815.9803853
0.005690631,1.973331228,13371.80162,1414.986385,81.25712532,0.186270541,1459.054144
0.00569071,1.972598143,13859.52973,1513.435415,272.5163117,0.400922483,731.2068198
0.005693322,3.048872905,15579.90431,4999.415417,201.1016427,0.156152341,2357.04645
0.00569397,1.011070493,15748.50128,3447.15789,224.3910004,0.010009143,3313.345605
0.005698372,3.98481609,11438.83757,3365.758795,155.5867086,0.178719122,1252.376848
0.005701798,3.026455445,7658.298095,3329.200702,210.7246575,0.337264595,1421.479009
0.005705078,6.246797787,6863.698209,1524.419163,270.922518,0.663481698,459.9962323
0.005705309,0.991249188,11547.71791,1582.29695,299.5786465,0.327274811,1229.611617
0.005707989,3.056950368,14654.61718,1501.14579,322.2720985,0.415198272,398.5724096
0.005712308,6.217498191,13820.75335,1526.528692,213.4155002,0.333567018,363.2092353
0.005715015,5.83187901,9325.773057,3366.00131,174.4126658,0.323102346,824.5703371
0.005716672,3.787471774,19887.40838,1416.653415,290.6102493,0.38165707,398.9671637
0.005719663,3.939269285,17050.05408,4917.628294,140.7576968,0.131983119,2280.314337
0.005721041,3.832092609,18343.44098,1497.615531,236.34736,0.342653565,559.2654687
0.00572407,0.786960156,7524.223247,7644.347001,283.6390796,0.073952498,2783.526117
0.005725885,0.780019213,12921.33351,3232.742698,292.92405,0.060084912,2127.61683
0.005728618,0.450124353,7225.452936,1917.529018,252.1027615,0.276732631,3824.588616
0.005731755,0.502196214,519.4922359,100.4398234,27.62316148,0.693034075,618.78635
0.005733739,0.781815168,10102.65552,4951.445517,231.4301713,0.020555403,3773.182506
0.005734211,1.015999751,15525.26908,1423.811398,194.9457531,0.080335305,1899.098543
0.005739562,2.959390306,15628.43216,3364.297526,92.43377602,0.103868096,2061.838197
0.00574085,2.004051692,15019.37103,3384.803371,177.99033,0.074341205,2377.497981
0.005746383,0.512361299,610.502242,246.2164818,30.61561293,0.649425835,1377.167095
0.005747063,0.988147993,9777.600842,1484.217245,93.70115173,0.250818906,2853.618287
0.005747321,5.176076303,13287.18302,3241.058342,117.5777737,0.194391814,1199.289342
0.005747366,1.993784789,14615.61689,1536.460463,119.0368826,0.170118359,1302.373941
0.005749262,1.029820084,14691.34713,5001.910234,190.3230534,-0.035824757,5098.295464
0.005752221,0.95737318,3021.47103,523.4648911,97.53810888,0.899992832,1759.370096
0.005756737,3.976830151,20227.90299,1471.523279,308.9383902,0.406980199,397.8739826
0.005757203,3.074344245,6770.11392,4786.615713,294.8543779,0.383251253,1355.337288
0.005760078,5.008379591,9708.962984,1550.53686,163.378343,0.461769781,544.2666888
0.00576312,2.046726458,15410.08742,1474.073161,132.2588967,0.163173248,1299.557967
0.005764103,4.125299305,12000.57132,1582.046428,222.36835,0.425365132,589.2596744
0.005767585,2.863391363,6786.52339,3424.082836,80.40392613,0.310596111,2224.316421
0.005768111,0.988755376,16024.64886,1518.978521,299.0461813,0.237999376,1087.546545
0.005770481,2.017133244,7962.567995,1521.899206,141.2762039,0.526410896,1584.563277
0.005770638,1.547181719,107.5511239,145.7179771,29.53406693,0.831024076,318.8660075
0.005771712,2.934590328,6679.386348,3368.288569,249.7550464,0.389091329,1167.556435
0.005772253,0.811534082,890.0626425,149.0685693,26.49435307,0.813588388,614.1810713
0.005779678,1.03469745,7370.427625,1944.64014,95.47644075,0.213078206,3700.890121
0.005782857,3.889008902,7903.216066,1507.414206,160.8932515,0.570848459,772.995226
0.005787192,0.957893241,1144.117024,1634.52797,57.53859802,0.425647131,3108.456998
0.00578855,3.069195571,13469.65397,5051.434664,221.3770726,0.149043062,2005.326557
0.005788907,3.974131665,15054.04925,1461.294982,118.9774059,0.309088175,768.8120255
0.005792713,1.922602346,5651.548105,3406.336945,187.7211293,0.337352168,2229.704836
0.005793847,3.001019914,18007.9958,1483.348798,77.21241028,0.172249595,1146.459736
0.005794163,6.108131943,9533.572692,1505.384837,180.72507,0.425180526,454.1386147
0.005801903,2.138356795,6572.015382,3523.215507,293.5365185,0.372335603,1520.219185
0.005804301,0.937976737,9773.798708,4853.333737,202.7939271,0.02931894,4160.291239
0.005806872,5.950909757,14420.57546,1496.55836,300.2255162,0.466544989,281.8101383
0.005811011,1.020449027,3041.286682,1058.892026,57.9818179,0.677407495,3017.431562
0.005812358,1.973213983,17752.77065,3551.831006,252.2257898,0.183730004,1779.815411
0.005813196,2.000415483,6669.958269,2465.813215,251.4822276,0.417058749,1511.165882
0.005813706,1.978810022,6929.659975,3147.854154,260.4596999,0.379427693,1520.652238
0.005813786,2.908227421,17759.26856,3481.292704,139.1479307,0.141982627,1959.964151
0.005815655,4.127210769,5870.911355,3378.228542,236.9423752,0.428344695,1061.059157
0.005816199,1.019569185,9320.387478,5091.312824,290.3006781,0.148579105,1767.439255
0.005820869,1.016490496,330.9694715,192.1904721,49.13762345,0.749182552,591.2783219
0.005823606,1.988343852,7662.237839,5099.544241,209.3971149,0.163591864,2442.307861
0.005825122,0.984014912,7647.308528,1541.963824,133.9677273,0.376622791,2699.526813
0.00582871,4.111368641,13324.92562,1488.885368,299.1742363,0.389008127,356.4527628
0.005834893,0.79118926,698.6614738,201.8615193,31.09006712,0.684436459,773.5083854
0.005836829,0.794490672,10096.18853,1552.274292,235.7592165,0.278625253,2305.864328
0.005837972,1.982601119,17206.01392,1459.744017,278.187948,0.248858918,754.7791722
0.005838733,0.805851511,9997.551715,5051.561154,271.510977,0.078583943,2485.537926
0.005852145,3.856400129,17509.38571,5208.638587,311.3738444,0.339670776,1206.838824
0.005852249,1.671817459,291.7220444,150.9478595,30.09871092,0.819058368,293.4177407
0.005852639,2.726940957,7910.511754,4779.21369,285.5208344,0.379057276,1416.514088
0.005852654,5.050448445,13565.80525,4961.484789,216.509878,0.215848407,1151.361241
0.005854268,1.988771344,7062.863233,3563.573862,128.2770728,0.22280819,2717.301537
0.005855764,1.005807697,18100.55047,3339.181772,241.587173,-0.025919487,3258.737494
0.005856643,1.043636154,5319.402154,2014.745027,68.64809413,0.283604988,4392.575794
0.005860225,1.010765442,12179.41084,3286.103031,252.6431785,0.091620123,2274.412582
0.005861254,0.70924595,101.8818187,104.2302094,27.9826994,0.83777642,498.7358697
0.005863135,3.078706537,13452.55663,1439.108634,193.6411723,0.321235155,747.0289822
0.005866473,2.825175208,11705.16697,3199.099553,136.3660746,0.123528015,1662.077503
0.005866982,1.027469614,5281.521585,3236.451455,92.8916151,0.104308458,5054.981881
0.005867449,2.023149289,14661.2879,3446.024002,229.6207181,0.128705978,1727.611877
0.005871195,1.041286959,14612.56575,3312.210416,327.2700166,0.177970937,1610.474779
0.005873283,0.799007598,9967.904173,1575.709797,245.1558783,0.26844229,2410.812336
0.005874701,1.00054693,7835.406452,4942.863814,197.3361446,0.042538494,3606.606651
0.005875711,2.969031177,19542.6559,3349.782979,255.0739986,0.227426289,1362.820778
0.005875738,1.953175724,19679.13562,1477.134548,161.6449135,0.079622633,1255.776119
0.005875797,3.83642763,6919.109947,1409.989989,205.0605014,0.662082884,787.8695082
0.005876043,0.782766175,14431.20512,1595.002941,290.4127184,0.165590198,1493.8339
0.005881883,0.887932061,6245.798241,1715.022707,171.6605952,0.381684717,3000.801774
0.005884939,0.88029613,6419.357625,5702.731248,201.2567998,0.064246269,4679.174991
0.005886255,1.936795066,5769.967155,3638.585457,237.8614915,0.358322183,1876.740616
0.005887605,0.991566991,4237.854926,766.457415,48.95648724,0.775089242,2591.405909
0.005893385,1.908372752,15644.55425,4762.373715,204.9742675,0.062090038,2829.463658
0.00589359,1.78295729,6866.599188,1050.891657,209.8062276,0.912769057,1420.358778
0.005894192,3.180918408,14631.91319,1457.244266,172.0340211,0.26114525,789.2148907
0.005894918,0.975538731,4936.866055,4319.329028,97.79597376,0.049707718,4936.979891
0.005896992,1.962898099,7653.041014,3227.070775,219.7909726,0.274317744,1976.137852
0.005898067,0.988989322,5811.13182,1587.535016,204.5074016,0.519860813,2657.756065
0.005899553,4.075472693,5857.568483,1511.918439,120.1731546,0.672983329,955.2211711
0.005899671,1.975926772,17768.65697,3442.299914,77.11530946,-0.029304291,3339.453714
0.005899947,0.936646825,10865.31568,7504.698423,274.5485815,0.084684074,3353.65835
0.005901248,0.789254892,9550.561982,5128.691313,227.5581878,0.014838167,3682.971254
0.005903045,2.05568094,6902.907648,3444.228589,259.2919038,0.344255382,1723.854049
0.005903161,0.770285814,7834.179513,4858.38755,257.2991782,0.076257069,3000.855522
0.005905988,0.767148458,10117.53648,4118.27604,192.5341313,-0.019611,4179.75717
0.005906803,1.025802552,13876.2475,3268.887938,77.18763233,-0.113127809,5131.85968
0.005910385,2.047461917,11439.16811,5240.639578,287.0959571,0.209626777,1515.444837
0.005914108,1.936623776,17276.27675,3519.108202,314.3173321,0.300903465,1241.490735
0.005917648,1.982157435,9727.56328,5167.51871,115.5383332,0.031472625,3355.750556
0.005918419,0.510445812,312.7123835,101.2678729,45.40729024,0.681819025,573.6477548
0.005919026,1.026556944,9625.847349,1504.55594,187.8423709,0.314160004,2239.522403
0.005920911,4.226342308,11821.59105,5030.570747,198.2362726,0.153617209,1494.810057
0.005921599,1.929299233,6634.440721,1457.031731,147.2008683,0.547812306,1498.552794
0.005923606,0.818831719,12431.09168,2691.501176,228.5102535,0.041554021,3058.89457
0.005925472,4.123634014,17776.43886,4974.042652,339.8562163,0.41211286,864.034083
0.005927391,3.054174261,17628.04801,1442.046887,74.37524203,0.170317976,1096.032785
0.005928245,5.689993752,15350.8818,3421.711664,202.2497142,0.295385401,858.2537457
0.00592828,0.670888482,103.160688,78.64039645,27.77208244,0.822177873,397.2884452
0.005929053,2.965158242,14689.96003,1494.137147,206.5950775,0.304873385,679.6398677
0.005929373,0.780729078,9646.036453,2257.487925,272.6876903,0.226640407,2090.601311
0.005930121,0.979490972,6803.66652,3351.564545,139.6941376,0.10831696,4110.066263
0.00593052,0.301638884,98.1517117,149.1251447,11.62798698,0.695231769,1470.737741
0.00593097,0.936819814,12181.29547,5248.966799,136.1419805,-0.056397567,5782.22707
0.005931514,4.138016416,14739.16739,1574.46216,213.1686687,0.342369271,575.3405961
0.005932776,2.032435373,7985.608361,4888.304508,175.7904593,0.135988175,2580.910872
0.005938692,0.507502145,104.5628207,149.9974942,31.69623414,0.66632571,744.098961
0.005943973,3.045392856,6748.600646,4730.75693,216.633066,0.307169593,1885.134885
0.005944213,4.19855617,8291.07785,4952.746429,135.831292,0.254916046,2154.107606
0.005946467,4.009574612,9896.094607,3330.558621,172.7383328,0.29984262,1256.81087
0.005949732,4.130365685,11877.61288,3050.436114,255.4171981,0.315954087,843.0672325
0.005950469,4.078115881,17587.52901,4779.151316,133.5697684,0.136563301,2190.680121
0.005952485,0.972596243,13846.37735,3347.846187,119.9700653,-0.070524432,4690.364891
0.005956579,6.26421308,13707.54373,5280.949002,188.6978682,0.231724938,1172.650298
0.005958092,0.771653159,14440.08603,2272.796175,331.0194777,0.208870719,1245.874794
0.005959991,3.068779188,16503.35258,4926.640271,308.2325599,0.379161593,1358.458568
0.005965191,3.084507252,17616.17669,1436.832325,134.339719,0.229864813,942.578894
0.00596572,0.668288715,100.4456597,103.9762772,30.54117163,0.79355872,481.4246465
0.005965757,0.977387915,6910.533426,730.7662955,87.48716853,0.854658437,2460.253767
0.005971044,3.939643028,6914.225669,3357.375337,37.52425188,0.32224072,1897.851943
0.005973112,4.062264542,7956.613341,1499.072808,264.4805337,0.642503796,575.0393599
0.00597421,3.932503987,13980.29903,5148.970697,305.5046108,0.308737416,1034.920666
0.00597531,0.696060383,104.1392587,440.3537889,31.57478986,0.605496227,1697.157479
0.005979598,3.876747813,6725.974088,2124.823653,279.5310725,0.687478767,314.5085931
0.00598147,1.944358812,6909.056337,3541.669651,161.7657813,0.270529924,2529.757076
0.005985111,1.510939128,110.053693,100.5648868,28.56548723,0.805183845,214.2292968
0.005985267,0.996821549,4339.987138,544.2992074,44.87904694,0.830491221,2054.821444
0.0059859,0.295360777,99.84078682,147.3331012,11.93997755,0.68863398,1421.257185
0.005988419,0.986344846,721.3281856,201.1247563,133.3395096,0.847370943,548.7544352
0.005989039,0.999495961,11986.53562,4825.159405,154.1268077,-0.04025625,5843.020541
0.00599397,3.995966492,15904.04655,3266.594593,338.6919151,0.406474105,520.0846096
0.005994945,0.777183908,9612.801216,2713.074491,212.5630526,0.066482852,3247.704309
0.005996419,1.020650411,3100.657672,589.8567007,46.92752468,0.814685558,1904.508728
0.00599728,1.994585427,8116.597784,1543.826286,119.249222,0.514734822,1682.059584
0.005997947,0.797523642,17523.25113,1599.506224,281.5764249,0.02100045,1491.249795
0.005999413,0.74414135,14634.13158,4612.364204,305.3567539,0.050472292,2955.413284
0.006000723,1.996214147,9818.354921,1508.207494,128.0424503,0.403649211,1552.992617
0.006007411,1.931515052,6962.949053,1437.088518,140.6362192,0.564259921,1606.59448
0.006014335,4.971109034,17240.78454,4985.890257,278.1141412,0.374740271,1086.527905
0.006016782,1.96219143,9968.768328,2111.019234,277.3498004,0.359474996,1058.367841
0.006020914,0.990808559,16670.73846,1484.758744,181.4931019,-0.011133336,2146.901139
0.006027408,0.705136966,102.6291756,104.796813,26.51176577,0.76799317,497.8951259
0.006031217,0.783924371,9979.46936,4907.025335,264.4280015,0.03319027,3319.803754
0.006034617,0.989040353,1134.249582,821.4057969,63.32864849,0.624715488,2160.56615
0.006034856,4.255612512,14029.2259,5057.355235,217.0940107,0.200087345,1583.046391
0.006036176,3.090998731,14244.40295,1450.447624,131.5810955,0.299190508,933.2896964
0.006037997,0.945585767,7032.493763,1640.331841,184.7403186,0.382208275,3009.695957
0.006039433,0.788590586,199.8593979,194.391899,38.74074172,0.663951353,648.2562897
0.006041009,0.814006746,17604.66966,1716.795868,327.5290612,0.150650617,1139.886959
0.006042932,0.957703015,10632.24972,7526.207328,281.2356383,0.061875916,3919.588328
0.006043145,1.08079101,7174.507405,839.2357467,87.43886221,0.679739654,2562.788177
0.006045907,1.04039715,18414.42343,1512.103313,240.9724471,0.093382791,1664.776796
0.006046886,4.278404887,9857.662649,3218.280263,93.28395576,0.214648467,1571.369923
0.006048355,0.982110259,3088.211495,526.4940043,115.1235689,0.940491751,1722.01076
0.006048382,0.992187082,11653.18114,3419.438587,156.7348453,0.001002544,3619.898888
0.006051108,4.025395194,6799.819545,2222.712662,279.1366589,0.787582916,212.8552982
0.00605563,1.204821908,105.0364651,147.7640574,28.55315116,0.844605436,393.524537
0.006059278,0.963870105,7538.05278,1123.699761,87.94770067,0.537115141,2887.855224
0.006062665,3.033330624,5776.055642,4809.102548,161.3337369,0.277022785,2435.843963
0.006069547,2.818645995,7049.280421,4031.945396,247.1666809,0.366531266,1525.156858
0.006070709,0.984455978,5017.649719,1321.000509,60.3309691,0.557117889,3467.720986
0.00607332,2.40116484,7068.02298,2159.122053,210.7973125,0.438842072,1408.291495
0.006076461,0.997568621,5702.109644,1405.197172,210.399256,0.493774252,2447.182109
0.006080968,0.848378838,9743.445876,5049.268287,231.2089788,0.008684457,4083.355934
0.006081873,4.757914782,18440.15406,3333.440651,320.782185,0.423831435,529.2722542
0.006085033,3.643494541,6940.241873,1362.745916,243.1324602,0.676549539,709.8177065
0.006088341,1.007206175,7366.917292,904.4368222,88.27508893,0.729079688,2531.884183
0.006089134,0.756239635,9503.659103,1692.226851,304.9969921,0.376377193,1731.454434
0.006091222,5.12100146,12508.60293,1453.846539,162.5483692,0.42793818,568.9716578
0.006093257,0.912706134,10355.2117,5425.615353,268.8714883,0.109362435,2838.116035
0.006095763,0.787018715,13447.09223,2640.79792,242.9744987,0.042040048,2829.12906
0.006097432,2.669265904,6982.158369,1314.697906,262.9257155,0.708151716,900.4075991
0.006098728,0.763992371,9365.784071,3906.386337,197.4877834,0.0010285,4484.455711
0.006103044,0.74800294,16639.56781,2715.947424,275.2423077,-0.053967938,2523.894095
0.006103368,0.747561571,9578.56246,4997.305572,241.9391798,0.014820634,3536.412781
0.006105447,0.981320519,5914.328755,1465.611098,171.6905873,0.494750051,2704.991131
0.00610675,1.334265464,109.6500382,153.2960878,27.74387648,0.76639101,333.2222859
0.006107017,0.806523228,9474.488119,4045.388214,233.1553369,0.021361404,3544.130025
0.006107924,0.48709239,509.5851192,93.73879226,43.01705162,0.671351222,580.3757549
0.006112992,1.041719308,1143.905262,705.1803263,62.6009417,0.702729293,2129.380978
0.006114818,0.790710911,7534.966153,2256.447834,196.8039972,0.177331663,3228.091012
0.006114925,5.065119047,9795.33542,1459.075572,198.273616,0.467126991,492.6725675
0.006115133,0.764633403,10001.92728,4924.442145,268.1866781,0.086682617,2074.091346
0.006117475,0.786108133,7405.252736,3894.798763,284.7218293,0.172506246,2505.295076
0.006120365,0.790202779,9338.160852,5197.091937,274.7313614,0.079180491,2456.161818
0.006121143,0.895070929,6651.181893,3847.834914,191.0513965,0.135871421,4061.429591
0.006125442,1.735658422,6972.374743,2719.810321,238.194338,0.388456619,1857.342906
